	sniff_time	dest_ip	dest_port
182	2018-03-18 12:42:02.822598	54	TCP
183	2018-03-18 12:42:02.823073	783	HTTP
184	2018-03-18 12:42:02.824984	783	HTTP
185	2018-03-18 12:42:02.835772	3603	PNG
186	2018-03-18 12:42:02.836179	54	TCP
187	2018-03-18 12:42:02.836186	54	TCP
188	2018-03-18 12:42:02.836188	54	TCP
189	2018-03-18 12:42:02.838202	783	HTTP
190	2018-03-18 12:42:02.848070	54	TCP
191	2018-03-18 12:42:02.863436	54	TCP
192	2018-03-18 12:42:02.864318	54	TCP
193	2018-03-18 12:42:02.875951	54	TCP
194	2018-03-18 12:42:02.876248	1673	PNG
195	2018-03-18 12:42:02.876408	54	TCP
196	2018-03-18 12:42:02.876412	54	TCP
197	2018-03-18 12:42:02.877706	4549	PNG
198	2018-03-18 12:42:02.878051	54	TCP
199	2018-03-18 12:42:02.878174	54	TCP
200	2018-03-18 12:42:02.878177	54	TCP
201	2018-03-18 12:42:02.878179	54	TCP
202	2018-03-18 12:42:02.878182	783	HTTP
203	2018-03-18 12:42:02.878224	54	TCP
204	2018-03-18 12:42:02.880002	783	HTTP
205	2018-03-18 12:42:02.880077	54	TCP
206	2018-03-18 12:42:02.886321	1713	PNG
207	2018-03-18 12:42:02.886627	54	TCP
208	2018-03-18 12:42:02.886656	54	TCP
209	2018-03-18 12:42:02.888104	783	HTTP
210	2018-03-18 12:42:02.888792	1742	PNG
211	2018-03-18 12:42:02.888969	54	TCP
212	2018-03-18 12:42:02.888974	54	TCP
213	2018-03-18 12:42:02.890844	783	HTTP
214	2018-03-18 12:42:02.890889	54	TCP
215	2018-03-18 12:42:02.899336	1701	PNG
216	2018-03-18 12:42:02.900592	54	TCP
217	2018-03-18 12:42:02.900609	54	TCP
218	2018-03-18 12:42:02.902633	783	HTTP
219	2018-03-18 12:42:02.906764	1635	PNG
220	2018-03-18 12:42:02.907021	54	TCP
221	2018-03-18 12:42:02.908712	783	HTTP
222	2018-03-18 12:42:02.912347	1553	PNG
223	2018-03-18 12:42:02.912530	54	TCP
224	2018-03-18 12:42:02.912535	54	TCP
225	2018-03-18 12:42:02.914611	783	HTTP
226	2018-03-18 12:42:02.914665	54	TCP
227	2018-03-18 12:42:02.921132	1702	PNG
228	2018-03-18 12:42:02.921383	54	TCP
229	2018-03-18 12:42:02.921390	54	TCP
230	2018-03-18 12:42:02.923145	783	HTTP
231	2018-03-18 12:42:02.923186	54	TCP
232	2018-03-18 12:42:02.923502	1578	PNG
233	2018-03-18 12:42:02.923661	54	TCP
234	2018-03-18 12:42:02.923666	54	TCP
235	2018-03-18 12:42:02.925232	783	HTTP
236	2018-03-18 12:42:02.925268	54	TCP
237	2018-03-18 12:42:02.936488	1653	PNG
238	2018-03-18 12:42:02.936673	54	TCP
239	2018-03-18 12:42:02.939384	783	HTTP
240	2018-03-18 12:42:02.940026	54	TCP
241	2018-03-18 12:42:02.944562	1679	PNG
242	2018-03-18 12:42:02.944741	54	TCP
243	2018-03-18 12:42:02.944746	54	TCP
244	2018-03-18 12:42:02.946796	783	HTTP
245	2018-03-18 12:42:02.967698	1694	PNG
246	2018-03-18 12:42:02.967915	54	TCP
247	2018-03-18 12:42:02.970352	783	HTTP
248	2018-03-18 12:42:02.973401	1566	PNG
249	2018-03-18 12:42:02.973586	54	TCP
250	2018-03-18 12:42:02.973591	54	TCP
251	2018-03-18 12:42:02.975219	783	HTTP
252	2018-03-18 12:42:02.975320	54	TCP
253	2018-03-18 12:42:02.975954	54	TCP
254	2018-03-18 12:42:02.976650	1728	PNG
255	2018-03-18 12:42:02.976849	54	TCP
256	2018-03-18 12:42:02.978683	783	HTTP
257	2018-03-18 12:42:02.979161	1552	PNG
258	2018-03-18 12:42:02.979328	54	TCP
259	2018-03-18 12:42:02.979333	54	TCP
260	2018-03-18 12:42:02.981173	783	HTTP
261	2018-03-18 12:42:02.981275	54	TCP
262	2018-03-18 12:42:02.986969	1675	PNG
263	2018-03-18 12:42:02.987146	54	TCP
264	2018-03-18 12:42:02.987180	54	TCP
265	2018-03-18 12:42:02.988962	783	HTTP
266	2018-03-18 12:42:02.993210	1645	PNG
267	2018-03-18 12:42:02.993406	54	TCP
268	2018-03-18 12:42:02.995191	783	HTTP
269	2018-03-18 12:42:02.996684	1635	PNG
270	2018-03-18 12:42:02.996870	54	TCP
271	2018-03-18 12:42:02.998694	783	HTTP
272	2018-03-18 12:42:03.002779	1604	PNG
273	2018-03-18 12:42:03.002954	54	TCP
274	2018-03-18 12:42:03.005131	783	HTTP
275	2018-03-18 12:42:03.009776	1507	PNG
276	2018-03-18 12:42:03.009962	54	TCP
277	2018-03-18 12:42:03.011643	783	HTTP
278	2018-03-18 12:42:03.016672	1592	PNG
279	2018-03-18 12:42:03.016842	54	TCP
280	2018-03-18 12:42:03.018782	783	HTTP
281	2018-03-18 12:42:03.039334	1600	PNG
282	2018-03-18 12:42:03.039564	54	TCP
283	2018-03-18 12:42:03.039571	54	TCP
284	2018-03-18 12:42:03.042146	783	HTTP
285	2018-03-18 12:42:03.042213	54	TCP
286	2018-03-18 12:42:03.043606	1659	PNG
287	2018-03-18 12:42:03.043785	54	TCP
288	2018-03-18 12:42:03.050232	1722	PNG
289	2018-03-18 12:42:03.050424	54	TCP
290	2018-03-18 12:42:03.050429	54	TCP
291	2018-03-18 12:42:03.052156	1756	PNG
292	2018-03-18 12:42:03.052357	54	TCP
293	2018-03-18 12:42:03.052362	54	TCP
294	2018-03-18 12:42:03.054184	1650	PNG
295	2018-03-18 12:42:03.054582	54	TCP
296	2018-03-18 12:42:03.054638	54	TCP
297	2018-03-18 12:42:03.055977	54	TCP
298	2018-03-18 12:42:03.061624	459	DATA-TEXT-LINES
299	2018-03-18 12:42:03.061796	54	TCP
300	2018-03-18 12:42:03.069116	1534	PNG
301	2018-03-18 12:42:03.069386	54	TCP
302	2018-03-18 12:42:03.069398	54	TCP
303	2018-03-18 12:42:07.154014	859	HTTP
304	2018-03-18 12:42:07.154076	54	TCP
305	2018-03-18 12:42:07.252508	7354	TCP
306	2018-03-18 12:42:07.252627	1754	TCP
307	2018-03-18 12:42:07.252691	54	TCP
308	2018-03-18 12:42:07.252696	54	TCP
309	2018-03-18 12:42:07.252770	54	TCP
310	2018-03-18 12:42:07.252772	54	TCP
311	2018-03-18 12:42:07.252774	54	TCP
312	2018-03-18 12:42:07.252775	54	TCP
313	2018-03-18 12:42:07.252777	54	TCP
314	2018-03-18 12:42:07.252898	874	TCP
315	2018-03-18 12:42:07.252985	54	TCP
316	2018-03-18 12:42:07.265234	459	DATA-TEXT-LINES
317	2018-03-18 12:42:07.267440	54	TCP
318	2018-03-18 12:42:08.434340	979	HTTP
319	2018-03-18 12:42:08.434384	54	TCP
320	2018-03-18 12:42:08.503331	7354	TCP
321	2018-03-18 12:42:08.503440	1754	TCP
322	2018-03-18 12:42:08.503528	2256	TCP
323	2018-03-18 12:42:08.503625	54	TCP
324	2018-03-18 12:42:08.503629	54	TCP
325	2018-03-18 12:42:08.503631	54	TCP
326	2018-03-18 12:42:08.503632	54	TCP
327	2018-03-18 12:42:08.503633	54	TCP
328	2018-03-18 12:42:08.503635	54	TCP
329	2018-03-18 12:42:08.503636	54	TCP
330	2018-03-18 12:42:08.503638	54	TCP
331	2018-03-18 12:42:08.503640	54	TCP
332	2018-03-18 12:42:08.510017	459	DATA-TEXT-LINES
333	2018-03-18 12:42:08.510989	54	TCP
334	2018-03-18 12:42:13.865990	812	HTTP
335	2018-03-18 12:42:13.866035	54	TCP
336	2018-03-18 12:42:13.908798	7354	TCP
337	2018-03-18 12:42:13.909020	54	TCP
338	2018-03-18 12:42:13.909026	54	TCP
339	2018-03-18 12:42:13.909028	54	TCP
340	2018-03-18 12:42:13.909030	54	TCP
341	2018-03-18 12:42:13.909032	54	TCP
342	2018-03-18 12:42:13.909290	1754	TCP
343	2018-03-18 12:42:13.909454	54	TCP
344	2018-03-18 12:42:13.909460	54	TCP
345	2018-03-18 12:42:13.909494	468	TCP
346	2018-03-18 12:42:13.909924	54	TCP
347	2018-03-18 12:42:13.919997	714	HTTP
348	2018-03-18 12:42:13.920060	54	TCP
349	2018-03-18 12:42:13.921516	5023	TCP
350	2018-03-18 12:42:13.921763	54	TCP
351	2018-03-18 12:42:13.921770	54	TCP
352	2018-03-18 12:42:13.921773	54	TCP
353	2018-03-18 12:42:13.921776	54	TCP
354	2018-03-18 12:42:13.921927	59	DATA-TEXT-LINES
355	2018-03-18 12:42:13.922111	54	TCP
356	2018-03-18 12:42:13.923712	459	DATA-TEXT-LINES
