	sniff_time	dest_ip	dest_port
217	2018-03-18 13:22:11.721296	92	DNS
218	2018-03-18 13:22:11.721603	80	DNS
219	2018-03-18 13:22:11.721677	80	DNS
220	2018-03-18 13:22:11.724740	74	DNS
221	2018-03-18 13:22:11.724823	74	DNS
222	2018-03-18 13:22:11.725097	79	DNS
223	2018-03-18 13:22:11.725158	79	DNS
224	2018-03-18 13:22:11.744245	151	DNS
225	2018-03-18 13:22:11.744649	79	DNS
226	2018-03-18 13:22:11.744728	153	DNS
227	2018-03-18 13:22:11.744759	79	DNS
228	2018-03-18 13:22:11.745166	81	DNS
229	2018-03-18 13:22:11.745228	81	DNS
230	2018-03-18 13:22:11.748425	251	DNS
231	2018-03-18 13:22:11.750473	250	DNS
232	2018-03-18 13:22:11.750487	323	DNS
233	2018-03-18 13:22:11.752267	346	DNS
234	2018-03-18 13:22:11.752276	159	DNS
235	2018-03-18 13:22:11.762836	175	DNS
236	2018-03-18 13:22:11.762848	247	DNS
237	2018-03-18 13:22:11.762875	113	DNS
238	2018-03-18 13:22:11.763112	74	TCP
239	2018-03-18 13:22:11.763170	137	DNS
240	2018-03-18 13:22:11.763377	74	TCP
241	2018-03-18 13:22:11.769186	90	DNS
242	2018-03-18 13:22:11.779167	74	TCP
243	2018-03-18 13:22:11.781403	151	DNS
244	2018-03-18 13:22:11.781784	81	DNS
245	2018-03-18 13:22:11.781868	81	DNS
246	2018-03-18 13:22:11.789466	74	TCP
247	2018-03-18 13:22:11.789592	74	TCP
248	2018-03-18 13:22:11.800797	60	TCP
249	2018-03-18 13:22:11.800815	54	TCP
250	2018-03-18 13:22:11.801970	60	TCP
251	2018-03-18 13:22:11.801985	54	TCP
252	2018-03-18 13:22:11.802017	60	TCP
253	2018-03-18 13:22:11.802026	54	TCP
254	2018-03-18 13:22:11.802202	97	DNS
255	2018-03-18 13:22:11.802502	271	HTTP
256	2018-03-18 13:22:11.802738	60	TCP
257	2018-03-18 13:22:11.803164	264	HTTP
258	2018-03-18 13:22:11.803342	60	TCP
259	2018-03-18 13:22:11.804366	109	DNS
260	2018-03-18 13:22:11.804996	74	TCP
261	2018-03-18 13:22:11.819120	60	TCP
262	2018-03-18 13:22:11.819149	54	TCP
263	2018-03-18 13:22:11.843774	1502	TCP
264	2018-03-18 13:22:11.843786	54	TCP
265	2018-03-18 13:22:11.844052	1502	TCP
266	2018-03-18 13:22:11.844059	54	TCP
267	2018-03-18 13:22:11.844370	1502	TCP
