	sniff_time	dest_ip	dest_port
191	2019-03-27 21:34:31.530968	1392	GQUIC
192	2019-03-27 21:34:31.530969	1392	GQUIC
193	2019-03-27 21:34:31.530975	1392	GQUIC
194	2019-03-27 21:34:31.530976	1306	GQUIC
195	2019-03-27 21:34:31.530984	1392	GQUIC
196	2019-03-27 21:34:31.530986	1392	GQUIC
197	2019-03-27 21:34:31.530987	1392	GQUIC
198	2019-03-27 21:34:31.530989	1392	GQUIC
199	2019-03-27 21:34:31.530990	1392	GQUIC
200	2019-03-27 21:34:31.530992	1392	GQUIC
201	2019-03-27 21:34:31.530993	1392	GQUIC
202	2019-03-27 21:34:31.530994	1392	GQUIC
203	2019-03-27 21:34:31.530996	1392	GQUIC
204	2019-03-27 21:34:31.531636	1392	GQUIC
205	2019-03-27 21:34:31.532531	70	GQUIC
206	2019-03-27 21:34:31.532632	1392	GQUIC
207	2019-03-27 21:34:31.532633	854	GQUIC
208	2019-03-27 21:34:31.532635	1392	GQUIC
209	2019-03-27 21:34:31.532636	1392	GQUIC
210	2019-03-27 21:34:31.532638	1392	GQUIC
211	2019-03-27 21:34:31.532639	1392	GQUIC
212	2019-03-27 21:34:31.532641	1392	GQUIC
213	2019-03-27 21:34:31.532642	1392	GQUIC
214	2019-03-27 21:34:31.532644	1392	GQUIC
215	2019-03-27 21:34:31.532645	1392	GQUIC
216	2019-03-27 21:34:31.532647	1392	GQUIC
217	2019-03-27 21:34:31.532648	1392	GQUIC
218	2019-03-27 21:34:31.532971	366	GQUIC
219	2019-03-27 21:34:31.533040	70	GQUIC
220	2019-03-27 21:34:31.533353	70	GQUIC
221	2019-03-27 21:34:31.533621	70	GQUIC
222	2019-03-27 21:34:31.534130	70	GQUIC
223	2019-03-27 21:34:31.535153	70	GQUIC
224	2019-03-27 21:34:31.777460	86	LLMNR
225	2019-03-27 21:34:31.777644	66	LLMNR
226	2019-03-27 21:34:31.859636	1392	GQUIC
227	2019-03-27 21:34:31.859637	137	GQUIC
228	2019-03-27 21:34:31.861820	1392	GQUIC
229	2019-03-27 21:34:31.861821	1392	GQUIC
230	2019-03-27 21:34:31.861823	1392	GQUIC
231	2019-03-27 21:34:31.861823	1115	GQUIC
232	2019-03-27 21:34:31.862036	70	GQUIC
233	2019-03-27 21:34:31.919755	1392	GQUIC
234	2019-03-27 21:34:31.919756	1392	GQUIC
235	2019-03-27 21:34:31.919757	1392	GQUIC
236	2019-03-27 21:34:31.919759	1057	GQUIC
237	2019-03-27 21:34:31.924870	70	GQUIC
238	2019-03-27 21:34:31.935620	1392	GQUIC
239	2019-03-27 21:34:31.935621	1392	GQUIC
240	2019-03-27 21:34:31.935621	1392	GQUIC
241	2019-03-27 21:34:31.935623	1392	GQUIC
242	2019-03-27 21:34:31.935624	1392	GQUIC
243	2019-03-27 21:34:31.935624	1392	GQUIC
244	2019-03-27 21:34:31.935625	1392	GQUIC
245	2019-03-27 21:34:31.935625	1392	GQUIC
246	2019-03-27 21:34:31.935626	1392	GQUIC
247	2019-03-27 21:34:31.935627	1392	GQUIC
248	2019-03-27 21:34:31.935627	1392	GQUIC
249	2019-03-27 21:34:31.935628	1392	GQUIC
250	2019-03-27 21:34:31.935628	413	GQUIC
251	2019-03-27 21:34:31.935795	1392	GQUIC
252	2019-03-27 21:34:31.935796	1392	GQUIC
253	2019-03-27 21:34:31.935797	1392	GQUIC
254	2019-03-27 21:34:31.935949	70	GQUIC
255	2019-03-27 21:34:31.936200	1392	GQUIC
256	2019-03-27 21:34:31.936201	1392	GQUIC
257	2019-03-27 21:34:31.936202	1392	GQUIC
258	2019-03-27 21:34:31.936203	1392	GQUIC
259	2019-03-27 21:34:31.936204	1392	GQUIC
260	2019-03-27 21:34:31.936204	1392	GQUIC
261	2019-03-27 21:34:31.936205	280	GQUIC
262	2019-03-27 21:34:31.936205	117	GQUIC
263	2019-03-27 21:34:31.936325	70	GQUIC
264	2019-03-27 21:34:31.938047	70	GQUIC
265	2019-03-27 21:34:31.962123	261	GQUIC
266	2019-03-27 21:34:31.987509	108	GQUIC
267	2019-03-27 21:34:31.987510	59	GQUIC
268	2019-03-27 21:34:31.989507	70	GQUIC
269	2019-03-27 21:34:32.136788	229	GQUIC
270	2019-03-27 21:34:32.137359	174	GQUIC
271	2019-03-27 21:34:32.140077	92	NBNS
272	2019-03-27 21:34:32.145500	63	GQUIC
273	2019-03-27 21:34:32.170686	145	GQUIC
274	2019-03-27 21:34:32.170687	59	GQUIC
275	2019-03-27 21:34:32.174540	70	GQUIC
276	2019-03-27 21:34:32.187598	175	GQUIC
277	2019-03-27 21:34:32.220226	645	GQUIC
278	2019-03-27 21:34:32.220227	62	GQUIC
279	2019-03-27 21:34:32.220229	159	GQUIC
280	2019-03-27 21:34:32.222326	70	GQUIC
281	2019-03-27 21:34:32.225994	1392	GQUIC
282	2019-03-27 21:34:32.225995	1392	GQUIC
283	2019-03-27 21:34:32.225996	912	GQUIC
284	2019-03-27 21:34:32.225997	241	GQUIC
285	2019-03-27 21:34:32.227946	70	GQUIC
286	2019-03-27 21:34:32.256541	55	TLS
287	2019-03-27 21:34:32.263381	66	TCP
288	2019-03-27 21:34:32.429995	609	GQUIC
289	2019-03-27 21:34:32.433871	87	DNS
290	2019-03-27 21:34:32.437414	386	DNS
291	2019-03-27 21:34:32.440914	1392	GQUIC
292	2019-03-27 21:34:32.441436	1013	GQUIC
293	2019-03-27 21:34:32.454734	200	GQUIC
294	2019-03-27 21:34:32.454736	59	GQUIC
295	2019-03-27 21:34:32.456712	70	GQUIC
296	2019-03-27 21:34:32.459199	1392	GQUIC
297	2019-03-27 21:34:32.459200	73	GQUIC
298	2019-03-27 21:34:32.460214	83	GQUIC
299	2019-03-27 21:34:32.460483	70	GQUIC
300	2019-03-27 21:34:32.465450	62	GQUIC
301	2019-03-27 21:34:32.469963	368	GQUIC
302	2019-03-27 21:34:32.469964	58	GQUIC
303	2019-03-27 21:34:32.470546	70	GQUIC
304	2019-03-27 21:34:32.892833	92	NBNS
305	2019-03-27 21:34:35.218900	55	TCP
306	2019-03-27 21:34:35.240481	66	TCP
307	2019-03-27 21:34:35.731136	398	GQUIC
308	2019-03-27 21:34:35.745314	441	GQUIC
309	2019-03-27 21:34:35.758048	63	GQUIC
310	2019-03-27 21:34:35.765983	977	GQUIC
311	2019-03-27 21:34:35.769644	226	GQUIC
312	2019-03-27 21:34:35.769647	79	GQUIC
313	2019-03-27 21:34:35.769649	59	GQUIC
314	2019-03-27 21:34:35.771089	70	GQUIC
315	2019-03-27 21:34:35.777444	70	GQUIC
316	2019-03-27 21:34:35.784601	61	GQUIC
317	2019-03-27 21:34:35.787697	70	GQUIC
318	2019-03-27 21:34:35.795242	85	DNS
319	2019-03-27 21:34:35.795621	80	DNS
320	2019-03-27 21:34:35.799221	80	DNS
321	2019-03-27 21:34:35.800754	289	DNS
322	2019-03-27 21:34:35.800756	522	DNS
323	2019-03-27 21:34:35.804644	380	DNS
324	2019-03-27 21:34:35.811292	54	TCP
325	2019-03-27 21:34:35.811459	54	TCP
326	2019-03-27 21:34:35.812531	66	TCP
327	2019-03-27 21:34:35.813252	66	TCP
328	2019-03-27 21:34:35.815664	66	TCP
329	2019-03-27 21:34:35.815669	66	TCP
330	2019-03-27 21:34:35.815808	54	TCP
331	2019-03-27 21:34:35.815910	54	TCP
332	2019-03-27 21:34:35.816610	571	TLS
333	2019-03-27 21:34:35.817023	571	TLS
334	2019-03-27 21:34:35.824651	1514	TLS
335	2019-03-27 21:34:35.824653	1514	TCP
336	2019-03-27 21:34:35.824654	1514	TLS
